# 状态矩阵（T0 全量覆盖）—— 行数必须 == 实体清单的 Σ状态数
# 口径：状态取**枚举值 + 边界值**（阈值上下各一 / 0 / 上限 / 超界）；⛔ 不取"任意帧"、⛔ 不做笛卡尔全组合
# 「实测 / 结论 / 证据」三列本片**故意留空** = 红行（先出表后修，判据由后续按维度的片填）
# 生成脚本：tools/probes/enumerate/enum_all.py
# 生成时间：见 .ai-tmp/test/t0-red-rows.md
# 维度码表：D1资源 D2几何 D3材质 D4UI D5动画 D6特效 D7音乐 D8音效 D9碰撞 D10逻辑 D11输入 D12流程 S1数值 S2性能 S3设置
维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
D5动画	anim:Sorceress（法师）·hit	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:20	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:Sorceress（法师）·idle	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:16	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:16
D5动画	anim:Sorceress（法师）·idle	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:16	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:16
D5动画	anim:Sorceress（法师）·idle	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:16	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；末帧文件在盘（引用 64/64，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:16
D5动画	anim:Sorceress（法师）·idle	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:16	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:Sorceress（法师）·run	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:22	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:22
D5动画	anim:Sorceress（法师）·run	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:22	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:22
D5动画	anim:Sorceress（法师）·run	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:22	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；末帧文件在盘（引用 64/64，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:22
D5动画	anim:Sorceress（法师）·run	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:22	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:Sorceress（法师）·walk	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:17	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:17
D5动画	anim:Sorceress（法师）·walk	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:17	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:17
D5动画	anim:Sorceress（法师）·walk	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:17	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；末帧文件在盘（引用 64/64，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:17
D5动画	anim:Sorceress（法师）·walk	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:17	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:传送门（D2/Objects/warp 81 瓦片；回城卷轴 item_c#89）·无（原版为调色板循环，非逐帧）	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:130	已登记实体：原版逐帧表现本机无出处/素材缺（见登记） ⇒ 无逐帧关键帧可比	允许的差异(→E42)	.ai-tmp/screenshots/w3_anim_audit.tsv（该实体行）；策划/差异登记.tsv E42
D5动画	anim:传送门（D2/Objects/warp 81 瓦片；回城卷轴 item_c#89）·无（原版为调色板循环，非逐帧）	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:130	已登记实体：原版逐帧表现本机无出处/素材缺（见登记） ⇒ 无逐帧关键帧可比	允许的差异(→E42)	.ai-tmp/screenshots/w3_anim_audit.tsv（该实体行）；策划/差异登记.tsv E42
D5动画	anim:传送门（D2/Objects/warp 81 瓦片；回城卷轴 item_c#89）·无（原版为调色板循环，非逐帧）	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:130	已登记实体：原版逐帧表现本机无出处/素材缺（见登记） ⇒ 无逐帧关键帧可比	允许的差异(→E42)	.ai-tmp/screenshots/w3_anim_audit.tsv（该实体行）；策划/差异登记.tsv E42
D5动画	anim:传送门（D2/Objects/warp 81 瓦片；回城卷轴 item_c#89）·无（原版为调色板循环，非逐帧）	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:130	原版该形态为**调色板循环**（非逐帧动画）⇒ 本机无「循环点 = 帧数-1」可比；`Objects/warp` 81 张实为平色帧（唯一色 #004430）且当前不被任何帧号请求	允许的差异(→E42)	.ai-tmp/screenshots/w3_anim_audit.tsv:130（该实体行）；策划/差异登记.tsv E42
D5动画	anim:僵尸 Zombie·attack	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:60	逐值比：工程方向数/帧数 = 8 方向 × 16 帧/向；引用帧文件 128/128；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:60
D5动画	anim:僵尸 Zombie·attack	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:60	逐值比：工程方向数/帧数 = 8 方向 × 16 帧/向；引用帧文件 128/128；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:60
D5动画	anim:僵尸 Zombie·attack	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:60	逐值比：工程方向数/帧数 = 8 方向 × 16 帧/向；引用帧文件 128/128；缺帧 0；末帧文件在盘（引用 128/128，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:60
D5动画	anim:僵尸 Zombie·attack	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:60	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:僵尸 Zombie·cast	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:61	逐值比：工程方向数/帧数 = 8 方向 × 16 帧/向（回退到 attack）；引用帧文件 128/128；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:61
D5动画	anim:僵尸 Zombie·cast	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:61	逐值比：工程方向数/帧数 = 8 方向 × 16 帧/向（回退到 attack）；引用帧文件 128/128；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:61
D5动画	anim:僵尸 Zombie·cast	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:61	逐值比：工程方向数/帧数 = 8 方向 × 16 帧/向（回退到 attack）；引用帧文件 128/128；缺帧 0；末帧文件在盘（引用 128/128，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:61
D5动画	anim:僵尸 Zombie·cast	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:61	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:僵尸 Zombie·death	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:63	逐值比：工程方向数/帧数 = 8 方向 × 19 帧/向；引用帧文件 152/152；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:63
D5动画	anim:僵尸 Zombie·death	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:63	逐值比：工程方向数/帧数 = 8 方向 × 19 帧/向；引用帧文件 152/152；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:63
D5动画	anim:僵尸 Zombie·death	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:63	逐值比：工程方向数/帧数 = 8 方向 × 19 帧/向；引用帧文件 152/152；缺帧 0；末帧文件在盘（引用 152/152，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:63
D5动画	anim:僵尸 Zombie·death	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:63	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:僵尸 Zombie·hit	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:62	逐值比：工程方向数/帧数 = 8 方向 × 5 帧/向；引用帧文件 40/40；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:62
D5动画	anim:僵尸 Zombie·hit	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:62	逐值比：工程方向数/帧数 = 8 方向 × 5 帧/向；引用帧文件 40/40；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:62
D5动画	anim:僵尸 Zombie·hit	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:62	逐值比：工程方向数/帧数 = 8 方向 × 5 帧/向；引用帧文件 40/40；缺帧 0；末帧文件在盘（引用 40/40，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:62
D5动画	anim:僵尸 Zombie·hit	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:62	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:僵尸 Zombie·idle	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:58	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:58
D5动画	anim:僵尸 Zombie·idle	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:58	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:58
D5动画	anim:僵尸 Zombie·idle	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:58	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；末帧文件在盘（引用 64/64，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:58
D5动画	anim:僵尸 Zombie·idle	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:58	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:僵尸 Zombie·run	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:64	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:64
D5动画	anim:僵尸 Zombie·run	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:64	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:64
D5动画	anim:僵尸 Zombie·run	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:64	逐值比：工程方向数/帧数 = 8 方向 × 8 帧/向；引用帧文件 64/64；缺帧 0；末帧文件在盘（引用 64/64，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:64
D5动画	anim:僵尸 Zombie·run	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:64	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:僵尸 Zombie·walk	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:59	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向；引用帧文件 96/96；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:59
D5动画	anim:僵尸 Zombie·walk	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:59	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向；引用帧文件 96/96；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:59
D5动画	anim:僵尸 Zombie·walk	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:59	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向；引用帧文件 96/96；缺帧 0；末帧文件在盘（引用 96/96，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:59
D5动画	anim:僵尸 Zombie·walk	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:59	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:卡夏 Kashya(NPC)·attack	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:102	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:102
D5动画	anim:卡夏 Kashya(NPC)·attack	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:102	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:102
D5动画	anim:卡夏 Kashya(NPC)·attack	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:102	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；末帧文件在盘（引用 96/96，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:102
D5动画	anim:卡夏 Kashya(NPC)·attack	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:102	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:卡夏 Kashya(NPC)·cast	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:103	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:103
D5动画	anim:卡夏 Kashya(NPC)·cast	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:103	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:103
D5动画	anim:卡夏 Kashya(NPC)·cast	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:103	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；末帧文件在盘（引用 96/96，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:103
D5动画	anim:卡夏 Kashya(NPC)·cast	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:103	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:卡夏 Kashya(NPC)·death	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:105	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:105
D5动画	anim:卡夏 Kashya(NPC)·death	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:105	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:105
D5动画	anim:卡夏 Kashya(NPC)·death	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:105	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；末帧文件在盘（引用 96/96，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:105
D5动画	anim:卡夏 Kashya(NPC)·death	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:105	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:卡夏 Kashya(NPC)·hit	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:104	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:104
D5动画	anim:卡夏 Kashya(NPC)·hit	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:104	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:104
D5动画	anim:卡夏 Kashya(NPC)·hit	关键帧·末	边界: 末帧是否被渲染	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:104	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向（回退到 idle）；引用帧文件 96/96；缺帧 0；末帧文件在盘（引用 96/96，缺帧 0）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:104
D5动画	anim:卡夏 Kashya(NPC)·hit	循环点/结束（Finished）	阈值: 循环点 = 帧数-1 / 触发回调	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:104	运行期时序：该动作循环口径（Idle/Walk/Run 循环；Attack/Cast/Hit/Death 播完停末帧并回落 Idle）由真 SpriteAnimator 逐帧断言（离线 PASS）	一致	tools/probes/hosts/animcheck（离线宿主；输出 .ai-tmp/test/animcheck_run.txt） §4 LoopOf(只 Idle/Walk/Run 循环) + §6 真 SpriteAnimator(walk 循环/attack 停末帧并回 idle/hit 播完回 idle/death 停末帧) + §3 回退到本单位动作
D5动画	anim:卡夏 Kashya(NPC)·idle	关键帧·起	边界: 帧数 = 1（单帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:100	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向；引用帧文件 96/96；缺帧 0；起帧存在（帧数 ≥1）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:100
D5动画	anim:卡夏 Kashya(NPC)·idle	关键帧·中	边界: 帧数 = 2（无中帧）	判据出处：.ai-tmp/screenshots/w3_anim_audit.tsv:100	逐值比：工程方向数/帧数 = 8 方向 × 12 帧/向；引用帧文件 96/96；缺帧 0；中帧存在（帧数 ≥2）	一致	.ai-tmp/screenshots/w3_anim_audit.tsv:100
